id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount
469,32,Other,100736,84,10,32,Home Entertainment,863.93
470,53,Other,139508,92,6,39,Mobile & Personal Devices,172.99
471,32,Male,38683,59,10,47,Home Entertainment,846.85
472,35,Other,42390,27,3,41,Automotive & Mobility Technologies,781.31
473,53,Female,104435,42,4,34,Business Solutions,795.81
474,54,Female,111261,56,1,44,Home Entertainment,216.09
475,36,Other,112674,12,7,35,Home Entertainment,590.32
476,38,Male,144083,23,1,28,Home Entertainment,158.15
477,42,Male,115342,19,4,47,Home Appliances,13.69
478,48,Other,143424,24,3,22,Business Solutions,594.94
479,58,Female,137836,19,9,21,Automotive & Mobility Technologies,172.39
480,19,Female,35529,62,4,24,Mobile & Personal Devices,177.69
481,54,Male,105641,17,9,37,Home Appliances,173.81
482,65,Other,120542,52,3,36,Mobile & Personal Devices,70.22
483,44,Female,43069,55,6,33,Home Entertainment,501.34
484,40,Male,61052,44,4,17,Home Entertainment,135.19
485,65,Male,39113,85,9,42,Business Solutions,964.87
486,66,Other,91672,71,5,9,Mobile & Personal Devices,10.4
487,22,Female,104781,64,8,38,Business Solutions,151.48
488,47,Other,124597,67,9,8,Mobile & Personal Devices,885.33
489,26,Female,96845,19,1,5,Business Solutions,154.89
490,19,Female,113254,38,5,35,Mobile & Personal Devices,633.5
491,22,Female,46900,70,1,24,Home Entertainment,325.46
492,39,Male,84725,100,8,49,Home Appliances,906.07
493,51,Female,120616,71,1,16,Mobile & Personal Devices,542.03
494,35,Male,141134,24,4,48,Home Appliances,649.61
495,59,Male,140809,45,5,45,Home Appliances,917.5
496,33,Female,65486,76,2,11,Home Appliances,302.05
497,56,Male,145254,48,6,43,Home Appliances,422.32
498,54,Female,43308,56,5,50,Automotive & Mobility Technologies,667.92
499,25,Male,33065,61,7,40,Home Entertainment,317.98
500,47,Male,69168,16,7,42,Mobile & Personal Devices,638.96
501,42,Male,129999,73,5,2,Mobile & Personal Devices,942.97
502,61,Female,41730,2,9,20,Automotive & Mobility Technologies,177.64
503,22,Male,75626,52,7,34,Automotive & Mobility Technologies,154.67
504,18,Other,142641,40,7,31,Automotive & Mobility Technologies,240.64
505,22,Male,53863,96,10,41,Automotive & Mobility Technologies,491.64
506,66,Male,149505,79,4,8,Home Appliances,334.95
507,58,Male,132215,91,8,6,Home Appliances,275.71
508,48,Other,72108,85,8,13,Home Appliances,486.58
509,68,Other,113760,64,2,37,Home Appliances,462.62
510,19,Male,111238,7,2,30,Home Appliances,813.37
511,24,Other,109039,71,9,41,Home Appliances,606.18
512,33,Male,132968,49,10,45,Home Appliances,641.53
513,19,Male,82506,10,5,41,Home Appliances,406.32
514,69,Female,58668,40,2,15,Business Solutions,626.35
515,28,Male,66961,8,10,22,Home Entertainment,179.82
516,32,Other,137280,95,6,3,Automotive & Mobility Technologies,31.72
517,18,Other,112021,9,3,11,Home Entertainment,588.37
518,45,Female,110280,85,4,21,Home Entertainment,944.07
519,45,Female,67753,64,4,48,Home Appliances,926.69
520,38,Male,54918,1,6,6,Automotive & Mobility Technologies,979.26
521,69,Other,78534,100,2,9,Business Solutions,75.03
522,29,Female,51471,96,3,13,Business Solutions,668.21
523,32,Female,58144,4,5,16,Automotive & Mobility Technologies,923.37
524,47,Other,100338,13,9,40,Automotive & Mobility Technologies,48.65
525,33,Female,90232,19,2,8,Mobile & Personal Devices,255.08
526,52,Male,133701,64,1,34,Mobile & Personal Devices,534.25
527,62,Female,117704,37,3,48,Home Appliances,112.11
528,23,Female,144577,75,1,9,Mobile & Personal Devices,826.02
529,57,Male,139366,39,5,50,Home Appliances,34.5
530,27,Male,106944,63,1,28,Home Appliances,36.39
531,61,Male,92031,44,7,11,Home Appliances,573.31
532,19,Male,146165,38,9,45,Business Solutions,819.92
533,36,Other,113794,74,1,27,Home Appliances,377.75
534,28,Male,121073,44,3,16,Home Appliances,482.35
535,46,Other,61090,3,4,3,Home Appliances,213.68
536,62,Female,74474,49,2,18,Home Appliances,933.65
537,48,Female,57932,70,9,44,Business Solutions,192.46
538,39,Male,49970,53,5,24,Home Entertainment,728.58
539,27,Male,73823,11,8,23,Automotive & Mobility Technologies,27.4
540,36,Male,37595,88,8,49,Home Entertainment,600.48
541,33,Female,103063,16,3,4,Automotive & Mobility Technologies,998.51
542,69,Other,86860,70,1,1,Mobile & Personal Devices,812.25
543,68,Female,40478,22,4,46,Home Entertainment,954.91
544,66,Female,126893,3,1,32,Mobile & Personal Devices,199.17
545,23,Female,123168,80,4,19,Mobile & Personal Devices,860.95
546,44,Other,112137,37,7,18,Home Entertainment,769.16
547,60,Other,108533,23,9,24,Automotive & Mobility Technologies,506.98
548,22,Female,93861,42,6,6,Business Solutions,73.13
549,39,Male,30004,32,6,48,Home Appliances,863.47
550,53,Male,47499,85,2,45,Home Appliances,338.69
551,50,Male,43965,83,3,17,Automotive & Mobility Technologies,83.38
552,20,Male,51199,100,5,5,Mobile & Personal Devices,889.83
553,69,Male,51759,18,9,14,Home Appliances,563.48
554,61,Female,54256,78,3,3,Business Solutions,886.44
555,66,Other,53345,100,4,22,Home Appliances,221.75
556,25,Female,52403,53,1,14,Home Entertainment,73.34
557,45,Male,95367,83,5,30,Business Solutions,845.33
558,40,Male,62536,84,4,28,Home Appliances,149.07
559,33,Male,121639,17,7,28,Business Solutions,422.14
560,63,Male,82296,61,4,43,Business Solutions,390.89
561,61,Other,137276,92,5,8,Home Entertainment,482.77
562,18,Male,143235,46,10,31,Home Entertainment,143.75
563,23,Male,143899,10,3,47,Home Entertainment,361.81
564,56,Other,134923,18,3,31,Automotive & Mobility Technologies,515.16
565,68,Other,106635,85,10,30,Automotive & Mobility Technologies,854.95
566,29,Male,60262,56,4,27,Mobile & Personal Devices,452.32
567,22,Other,92601,75,7,49,Automotive & Mobility Technologies,120.76
568,45,Female,41917,58,8,5,Business Solutions,870.38
569,29,Female,59815,43,6,24,Home Entertainment,105.48
570,18,Other,94701,69,8,48,Mobile & Personal Devices,760.34
571,36,Female,31458,40,4,6,Automotive & Mobility Technologies,371.77
572,19,Male,134193,95,7,44,Automotive & Mobility Technologies,97.65
573,40,Female,143338,6,8,26,Home Entertainment,491.07
574,48,Other,93084,30,7,5,Mobile & Personal Devices,480.55
575,49,Male,55027,62,2,1,Mobile & Personal Devices,962.9
576,51,Female,149256,96,1,31,Automotive & Mobility Technologies,266.83
577,32,Female,46610,92,5,9,Home Entertainment,409.85
578,64,Male,43175,59,10,35,Automotive & Mobility Technologies,363.86
579,21,Female,71227,17,10,12,Automotive & Mobility Technologies,101.48
580,51,Female,149744,99,1,12,Home Entertainment,215.92
581,46,Male,129568,56,10,27,Mobile & Personal Devices,766.26
582,19,Male,135968,50,4,49,Automotive & Mobility Technologies,174.43
583,33,Male,38240,92,3,37,Business Solutions,626.82
584,30,Male,114808,23,9,6,Mobile & Personal Devices,74.08
585,51,Female,37310,6,5,14,Home Appliances,706.18
586,62,Other,147903,79,5,22,Automotive & Mobility Technologies,203.15
587,20,Other,61541,80,2,14,Home Entertainment,48.5
588,47,Other,55753,69,5,40,Business Solutions,772.89
589,29,Other,80868,33,6,15,Mobile & Personal Devices,865.65
590,33,Male,93599,22,4,37,Home Appliances,274.96
591,53,Male,108263,21,1,47,Automotive & Mobility Technologies,734.48
592,22,Male,100730,4,5,10,Home Appliances,459.58
593,62,Female,148501,41,9,32,Home Appliances,980.47
594,29,Other,98150,42,9,34,Home Appliances,324.11
595,28,Other,61870,100,6,3,Home Entertainment,728.67
596,46,Male,73370,2,4,29,Business Solutions,486.5
597,50,Male,132598,57,7,21,Business Solutions,930.91
598,56,Other,55695,58,7,30,Automotive & Mobility Technologies,435.76
599,41,Other,69204,95,4,28,Mobile & Personal Devices,936.04
600,52,Male,127010,76,8,26,Home Appliances,13.46
601,53,Female,137854,33,10,47,Home Entertainment,523.27
602,20,Male,145924,64,5,18,Automotive & Mobility Technologies,495.49
603,33,Female,53219,33,4,47,Mobile & Personal Devices,251.23
604,47,Male,64592,25,4,12,Business Solutions,237.34
605,18,Female,144275,69,9,27,Automotive & Mobility Technologies,141.72
606,39,Male,48641,45,3,46,Business Solutions,415.19
607,30,Male,102200,88,5,47,Business Solutions,131.84
608,41,Other,67215,34,3,30,Business Solutions,460.25
609,53,Other,96499,29,4,5,Automotive & Mobility Technologies,744.11
610,23,Female,83912,28,6,31,Business Solutions,98.32
611,42,Female,63444,72,4,40,Business Solutions,166.45
612,33,Female,38271,39,10,43,Automotive & Mobility Technologies,99.52
613,60,Other,53295,73,3,5,Business Solutions,642.3
614,64,Female,116106,5,1,5,Mobile & Personal Devices,25.86
615,69,Male,141965,98,5,35,Automotive & Mobility Technologies,616.66
616,43,Male,38012,55,3,24,Home Entertainment,943.37
617,29,Other,83172,51,8,1,Mobile & Personal Devices,906.75
618,53,Other,62024,13,2,39,Home Appliances,66.6
619,29,Other,88288,39,5,50,Home Entertainment,803.87
620,53,Other,50215,92,6,48,Home Appliances,814.52
621,20,Male,122028,40,3,6,Automotive & Mobility Technologies,777.44
622,33,Other,102269,26,8,47,Home Appliances,356.67
623,30,Female,97829,99,4,27,Mobile & Personal Devices,320.95
624,59,Other,66196,37,9,44,Mobile & Personal Devices,483.66
625,41,Male,36763,50,5,36,Business Solutions,490.62
626,19,Male,138008,8,9,15,Home Entertainment,116.8
627,27,Female,96762,22,3,10,Automotive & Mobility Technologies,551.43
628,39,Other,108744,63,2,23,Home Appliances,411.86
629,65,Male,84223,83,7,46,Home Entertainment,971.93
630,64,Female,145746,76,2,48,Business Solutions,49.06
631,47,Female,108766,37,7,38,Home Entertainment,640.55
632,29,Female,72125,41,5,31,Home Appliances,507.62
633,43,Female,97989,14,6,49,Automotive & Mobility Technologies,886.61
634,51,Other,143678,50,8,23,Automotive & Mobility Technologies,916.04
635,23,Female,122669,15,3,4,Automotive & Mobility Technologies,248.68
636,24,Female,93266,20,1,4,Mobile & Personal Devices,636.29
637,52,Other,85267,6,5,2,Business Solutions,704.32
638,34,Female,60489,95,3,38,Business Solutions,304.86
639,68,Male,57700,70,8,46,Home Entertainment,178.21
640,57,Male,97035,28,6,42,Business Solutions,741.41
641,59,Other,141667,28,4,5,Home Appliances,204.25
642,34,Female,114408,38,7,28,Automotive & Mobility Technologies,647.35
643,64,Female,92888,2,7,50,Home Appliances,84.98
644,54,Male,132403,83,3,2,Home Appliances,45.2
645,67,Other,115578,10,1,36,Home Entertainment,646.16
646,62,Male,113856,78,6,50,Automotive & Mobility Technologies,720.47
647,24,Other,122371,11,2,4,Automotive & Mobility Technologies,838.19
648,43,Female,67979,49,2,6,Home Entertainment,420.03
649,27,Male,147360,96,3,26,Home Appliances,26.1
650,47,Other,88268,32,8,27,Home Entertainment,686.5
651,27,Female,113174,36,3,46,Automotive & Mobility Technologies,499.07
652,32,Other,95862,34,6,41,Automotive & Mobility Technologies,65.15
653,41,Male,140959,35,7,14,Business Solutions,232.42
654,48,Male,82356,97,1,35,Home Appliances,204.55
655,45,Other,47989,70,6,9,Home Entertainment,218.77
656,33,Other,65142,45,10,42,Mobile & Personal Devices,132.6
657,27,Male,81110,44,6,8,Automotive & Mobility Technologies,654.05
658,61,Male,145578,79,2,34,Mobile & Personal Devices,762.06
659,35,Other,116378,38,10,11,Mobile & Personal Devices,79.27
660,54,Female,89035,14,4,11,Home Appliances,138.81
661,69,Female,34122,50,4,27,Home Appliances,758.44
662,66,Other,38652,40,10,7,Business Solutions,566.59
663,30,Female,76658,70,3,32,Home Entertainment,760.27
664,56,Other,30492,47,5,6,Home Entertainment,725.26
665,37,Male,105623,26,5,47,Business Solutions,94.79
666,31,Other,85972,62,9,25,Home Appliances,914.63
667,29,Female,135394,53,9,36,Mobile & Personal Devices,30.13
668,27,Female,48576,29,7,29,Home Appliances,976.83
669,52,Male,87717,79,6,44,Mobile & Personal Devices,95.17
670,55,Other,59108,36,6,31,Business Solutions,900.16
671,34,Male,54274,27,2,17,Business Solutions,954.46
672,30,Male,94803,76,6,33,Business Solutions,596.98
673,47,Female,40790,36,1,4,Mobile & Personal Devices,913.84
674,32,Other,41072,14,5,39,Automotive & Mobility Technologies,981.04
675,64,Female,67704,12,6,17,Business Solutions,126.15
676,64,Female,48169,39,5,33,Home Entertainment,451.86
677,51,Female,146159,99,7,38,Home Entertainment,808.89
678,63,Other,56374,60,4,45,Business Solutions,943.5
679,46,Female,112770,6,10,27,Home Appliances,559.73
680,36,Other,106345,98,7,49,Mobile & Personal Devices,55.21
681,49,Other,115974,95,8,22,Automotive & Mobility Technologies,143
682,61,Male,136973,27,7,2,Automotive & Mobility Technologies,269.2
683,27,Female,89855,54,10,37,Business Solutions,750.51
684,42,Male,56378,8,9,18,Mobile & Personal Devices,880.45
685,37,Male,104041,64,9,49,Business Solutions,117.52
686,30,Male,115674,78,2,48,Mobile & Personal Devices,621.73
687,59,Male,65196,22,2,36,Business Solutions,625.33
688,30,Male,94970,15,4,11,Home Appliances,250.07
689,69,Other,45024,38,5,11,Mobile & Personal Devices,830.03
690,39,Female,141586,50,4,46,Mobile & Personal Devices,659.67
691,53,Other,84686,93,8,1,Home Entertainment,109.54
692,23,Male,57558,28,6,23,Automotive & Mobility Technologies,800.78
693,28,Female,142450,80,3,22,Home Entertainment,471.87
694,64,Male,32144,76,2,28,Home Appliances,902.66
695,45,Male,53474,79,8,21,Automotive & Mobility Technologies,40.32
696,61,Male,89720,4,9,8,Home Entertainment,795.49
697,36,Female,114281,99,7,6,Home Appliances,217.78
698,33,Other,36577,28,4,1,Automotive & Mobility Technologies,612.54
699,55,Other,53164,64,2,19,Mobile & Personal Devices,932.41
700,31,Male,33604,8,5,2,Automotive & Mobility Technologies,984.15
701,31,Male,148121,34,9,32,Home Entertainment,753.49
702,26,Female,42499,92,9,50,Automotive & Mobility Technologies,37.57
703,26,Female,56466,61,3,12,Business Solutions,358.22
704,52,Female,58805,14,2,47,Home Appliances,104.35
705,42,Male,49140,23,9,35,Mobile & Personal Devices,400.23
706,29,Female,102972,68,3,39,Mobile & Personal Devices,258.09
707,47,Female,128439,42,5,22,Home Appliances,219.02
708,68,Male,47482,100,9,49,Mobile & Personal Devices,170.56
709,44,Female,118123,40,8,31,Mobile & Personal Devices,140.52
710,43,Female,43545,67,5,41,Automotive & Mobility Technologies,179.71
711,43,Other,51398,12,4,26,Home Appliances,117.85
712,18,Male,141318,37,6,28,Business Solutions,428.33
713,19,Female,76416,26,6,20,Automotive & Mobility Technologies,385.1
714,30,Male,100115,54,2,36,Home Appliances,789.67
715,43,Other,67912,71,10,35,Automotive & Mobility Technologies,698.03
716,48,Female,74273,23,10,46,Home Appliances,626.27
717,47,Male,136278,76,10,48,Mobile & Personal Devices,233.64
718,57,Female,108833,77,3,37,Business Solutions,623.78
719,21,Female,119226,21,8,50,Home Appliances,772.63
720,69,Other,72651,58,5,30,Automotive & Mobility Technologies,103.11
721,27,Male,114848,66,10,38,Home Entertainment,912.58
722,45,Male,127989,99,1,42,Business Solutions,683.99
723,20,Male,48504,27,3,28,Home Entertainment,658.54
724,21,Other,114762,28,3,7,Home Appliances,397.54
725,48,Female,108563,3,8,39,Mobile & Personal Devices,15.72
726,40,Other,105994,39,9,17,Business Solutions,347.21
727,18,Other,84764,2,6,49,Business Solutions,348.51
728,28,Other,53503,39,5,30,Home Entertainment,591.64
729,50,Male,86985,77,8,11,Home Appliances,964.1
730,19,Male,85349,77,8,29,Business Solutions,381.04
731,53,Female,52855,12,5,33,Home Entertainment,444.09
732,29,Other,66264,85,2,8,Automotive & Mobility Technologies,743.3
733,49,Male,56707,6,8,29,Automotive & Mobility Technologies,604.53
734,23,Other,66886,7,6,40,Automotive & Mobility Technologies,322.64
735,38,Other,115537,10,7,25,Mobile & Personal Devices,632.99
736,52,Female,130875,76,10,14,Mobile & Personal Devices,979.39
737,28,Male,104971,74,4,10,Mobile & Personal Devices,297.17
738,18,Female,136320,52,5,42,Automotive & Mobility Technologies,891.19
739,61,Male,113380,27,2,17,Automotive & Mobility Technologies,177.5
740,62,Female,119083,18,4,28,Automotive & Mobility Technologies,317.78
741,50,Female,50944,24,3,36,Automotive & Mobility Technologies,121.22
742,45,Other,30738,38,7,5,Business Solutions,144
743,64,Male,132277,81,5,30,Home Appliances,505.24
744,56,Male,90816,20,10,35,Automotive & Mobility Technologies,808.16
745,30,Female,64288,93,9,43,Home Entertainment,825.85
746,60,Male,34657,99,10,3,Automotive & Mobility Technologies,983.3
747,26,Male,44725,40,10,17,Home Entertainment,307.42
748,57,Female,58696,69,4,29,Home Entertainment,570.87
749,22,Male,73023,30,1,19,Business Solutions,661.7
750,41,Other,74985,68,8,21,Automotive & Mobility Technologies,123.96
751,63,Male,37201,60,6,46,Home Entertainment,90.96
752,31,Male,85928,10,2,40,Business Solutions,34.1
753,28,Other,129367,4,1,44,Automotive & Mobility Technologies,559.61
754,52,Male,49342,77,7,29,Home Entertainment,622.86
755,61,Male,59583,11,8,27,Mobile & Personal Devices,744.56
756,30,Female,111050,61,10,32,Automotive & Mobility Technologies,213.88
757,19,Female,129687,78,3,43,Business Solutions,679.67
758,35,Male,94896,36,6,4,Business Solutions,102.23
759,64,Other,130443,29,1,17,Business Solutions,835.67
760,27,Male,80545,63,6,46,Home Appliances,575.98
761,47,Male,112510,1,2,10,Business Solutions,618.2
762,57,Male,145190,42,9,8,Home Appliances,971.83
763,63,Male,115204,12,2,19,Business Solutions,910.59
764,61,Female,116123,96,2,27,Home Appliances,844.95
765,40,Other,108344,87,2,13,Automotive & Mobility Technologies,892.28
766,41,Other,74198,84,1,50,Mobile & Personal Devices,60.51
767,45,Other,62582,1,6,46,Mobile & Personal Devices,298.11
768,33,Other,92798,80,3,44,Home Entertainment,367.85
769,19,Male,85583,61,5,43,Home Appliances,316.35
770,61,Male,32692,18,8,28,Home Entertainment,709.33
771,55,Other,53069,3,10,43,Mobile & Personal Devices,777.97
772,26,Female,79842,78,9,5,Mobile & Personal Devices,557.41
773,51,Female,70099,42,7,12,Home Entertainment,481.56
774,52,Male,52167,19,5,50,Business Solutions,961.55
775,24,Male,51225,21,6,31,Home Appliances,235.64
776,31,Female,123947,25,2,39,Home Entertainment,355.67
777,19,Other,45781,93,6,43,Home Appliances,412.99
778,46,Female,78023,83,7,28,Home Appliances,270.15
779,56,Other,43031,56,2,15,Automotive & Mobility Technologies,830.79
780,65,Other,80686,2,8,30,Home Appliances,491.8
781,53,Male,147355,10,2,38,Business Solutions,866.3
782,22,Male,118840,32,9,9,Automotive & Mobility Technologies,819.14
783,39,Other,71987,42,5,35,Mobile & Personal Devices,196.61
784,47,Other,64229,74,5,22,Home Entertainment,438.95
785,45,Female,88366,22,10,24,Automotive & Mobility Technologies,253.64
786,30,Male,43192,61,1,27,Home Appliances,614.39
787,57,Other,56547,65,10,43,Home Entertainment,686.83
788,33,Male,38558,71,8,22,Business Solutions,223.73
789,25,Female,52575,77,5,13,Mobile & Personal Devices,112.22
790,61,Male,96409,66,1,32,Home Appliances,674.93
791,59,Female,97756,89,6,3,Business Solutions,318.74
792,18,Other,140475,38,8,7,Home Appliances,442.42
793,63,Female,123481,26,1,26,Business Solutions,386.51
794,50,Male,103921,58,2,3,Automotive & Mobility Technologies,687.32
795,33,Female,45432,11,4,42,Automotive & Mobility Technologies,990.34
796,47,Male,92114,17,7,8,Business Solutions,997.15
797,47,Male,86651,54,3,49,Business Solutions,678.41
798,68,Other,44597,3,1,36,Home Appliances,743.73
799,25,Male,107042,27,1,32,Mobile & Personal Devices,648.79
800,35,Other,114874,40,3,15,Home Appliances,333.55
801,61,Other,69791,33,8,1,Home Appliances,165.39
802,51,Male,107033,96,3,42,Home Entertainment,992.17
803,64,Male,127745,72,2,11,Home Entertainment,192.17
804,59,Female,58656,47,6,6,Home Entertainment,246.07
805,51,Female,97660,3,7,30,Home Appliances,145.66
806,49,Male,69864,92,10,25,Home Entertainment,522.78
807,24,Male,68172,6,1,28,Mobile & Personal Devices,445.3
808,33,Male,127302,43,1,40,Home Entertainment,785.52
809,46,Other,91845,35,8,49,Automotive & Mobility Technologies,537.23
810,35,Male,83547,27,7,40,Automotive & Mobility Technologies,570.08
811,27,Female,78001,50,5,17,Business Solutions,117.03
812,53,Other,76842,73,6,35,Business Solutions,701.61
813,19,Male,68304,9,10,28,Home Appliances,864.57
814,56,Other,145028,2,10,32,Business Solutions,849.56
815,53,Female,58486,87,8,23,Business Solutions,409.35
816,50,Other,143612,71,9,28,Home Entertainment,372.69
817,37,Female,115734,87,2,50,Home Entertainment,646.4
818,69,Male,129445,32,3,6,Business Solutions,42.19
819,46,Other,58692,2,9,22,Business Solutions,230.66
820,52,Other,73723,69,10,19,Home Appliances,321.92
821,41,Other,37547,72,3,24,Home Entertainment,897.46
822,26,Female,34901,31,7,9,Home Entertainment,667.8
823,69,Male,85068,54,6,24,Home Appliances,846.68
824,38,Female,81244,57,5,3,Business Solutions,301.59
825,30,Female,121358,16,1,2,Automotive & Mobility Technologies,122.7
826,48,Male,111795,41,9,17,Home Entertainment,116.19
827,62,Other,88975,58,6,24,Home Appliances,921.21
828,34,Male,43316,72,7,13,Automotive & Mobility Technologies,274.88
829,37,Male,112949,33,8,40,Business Solutions,424.07
830,28,Male,136418,17,5,17,Business Solutions,765.53
831,43,Female,76811,26,1,33,Business Solutions,836.5
832,69,Other,81964,22,1,3,Business Solutions,839.2
833,43,Female,85487,71,7,49,Home Appliances,625.26
834,38,Male,101111,98,8,35,Mobile & Personal Devices,738.01
835,41,Female,68147,75,2,33,Home Entertainment,553.35
836,30,Other,42089,29,3,3,Business Solutions,536.52
837,69,Female,106629,4,7,9,Home Entertainment,443.22
838,57,Male,98928,80,3,33,Automotive & Mobility Technologies,934.98
839,43,Male,90687,9,5,24,Home Appliances,531.25
840,58,Female,68764,96,6,31,Home Entertainment,723.66
841,40,Male,125996,64,6,15,Mobile & Personal Devices,583.95
842,33,Female,96916,23,6,12,Home Appliances,373.49
843,50,Other,149578,28,2,39,Business Solutions,839.34
844,43,Male,140638,62,10,18,Business Solutions,78.52
845,45,Female,57615,30,5,15,Automotive & Mobility Technologies,998.09
846,60,Other,61376,97,8,9,Automotive & Mobility Technologies,793.84
847,22,Male,134801,47,1,49,Home Entertainment,292.92
848,60,Other,111784,31,1,14,Mobile & Personal Devices,122.12
849,56,Female,86142,87,7,8,Home Appliances,291.96
850,48,Female,126398,19,1,18,Mobile & Personal Devices,311.08
851,51,Other,59566,25,5,22,Home Entertainment,847.03
852,64,Female,63123,88,1,16,Home Entertainment,330.95
853,22,Other,120644,75,1,4,Mobile & Personal Devices,456.11
854,27,Female,40595,84,6,15,Home Entertainment,268.76
855,18,Male,30102,35,2,6,Home Appliances,739.27
856,45,Other,135627,67,2,46,Home Entertainment,524.16
857,19,Female,90561,75,10,23,Business Solutions,866.23
858,67,Male,115470,56,4,6,Mobile & Personal Devices,151.74
859,22,Male,62752,2,10,22,Automotive & Mobility Technologies,469.36
860,22,Male,46866,3,7,46,Automotive & Mobility Technologies,737.44
861,21,Other,145884,3,4,25,Business Solutions,676.93
862,20,Male,79899,64,7,46,Mobile & Personal Devices,129.9
863,42,Other,77292,73,10,43,Home Entertainment,787.66
864,41,Male,92371,28,10,48,Automotive & Mobility Technologies,594.96
865,57,Other,106632,26,1,17,Home Entertainment,610.98
866,22,Male,48068,57,2,24,Automotive & Mobility Technologies,683.02
867,68,Other,35122,72,6,33,Home Appliances,983.84
868,51,Other,83467,83,1,19,Mobile & Personal Devices,30.88
869,49,Female,61376,47,5,16,Business Solutions,241.25
870,57,Other,112212,6,6,44,Business Solutions,312.64
871,57,Female,128481,86,10,40,Business Solutions,727.15
872,63,Male,33546,18,9,31,Home Appliances,191.8
873,42,Female,127546,54,1,31,Mobile & Personal Devices,484.72
874,35,Male,121037,70,1,28,Home Entertainment,304.08
875,25,Female,76606,99,10,32,Business Solutions,472.4
876,60,Other,120195,68,9,26,Home Appliances,600.21
877,51,Female,127950,27,3,45,Business Solutions,412.76
878,45,Female,51646,61,5,41,Business Solutions,246.41
879,51,Male,80995,68,1,18,Home Appliances,863.54
880,59,Other,97355,63,2,22,Home Entertainment,329.18
881,47,Female,133264,93,2,21,Home Entertainment,11.01
882,61,Male,49557,22,6,12,Mobile & Personal Devices,678.13
883,62,Other,97909,100,1,5,Business Solutions,439.63
884,50,Female,59695,70,5,6,Mobile & Personal Devices,241.99
885,58,Other,149723,70,9,23,Automotive & Mobility Technologies,374.59
886,26,Other,113532,70,7,28,Home Appliances,679.69
887,60,Male,98882,38,2,28,Home Entertainment,940.14
888,29,Male,149973,2,2,19,Home Entertainment,437.1
889,33,Other,146269,92,6,10,Home Appliances,486.86
890,60,Other,73059,77,3,31,Mobile & Personal Devices,581.15
891,22,Other,87909,19,7,39,Home Appliances,20.52
892,66,Other,40932,5,1,48,Home Appliances,546.06
893,24,Female,60763,92,5,29,Business Solutions,320.7
894,63,Other,119492,25,8,40,Home Appliances,758.1
895,27,Male,128640,3,5,2,Business Solutions,140.52
896,53,Male,137307,34,1,26,Home Appliances,952.12
897,32,Male,81701,96,9,49,Automotive & Mobility Technologies,77.45
898,64,Other,82140,57,3,7,Business Solutions,97.97
899,48,Male,134463,32,2,7,Automotive & Mobility Technologies,535.1
900,52,Female,41544,1,10,46,Business Solutions,720.52
901,57,Female,135440,46,8,3,Business Solutions,442.46
902,55,Female,72193,39,2,6,Business Solutions,207.44
903,33,Other,106771,23,7,3,Home Appliances,609.8
904,64,Female,122557,87,2,5,Home Entertainment,344.59
905,64,Male,139658,77,6,26,Home Appliances,71.97
906,25,Male,130604,100,4,41,Automotive & Mobility Technologies,355.45
907,62,Other,113706,19,1,13,Business Solutions,427.68
908,59,Other,141567,27,8,30,Home Appliances,95.96
909,27,Female,89618,49,8,12,Home Entertainment,831.05
910,55,Other,45562,68,3,30,Home Entertainment,628.34
911,66,Female,55154,93,3,19,Automotive & Mobility Technologies,684.88
912,54,Male,69676,9,7,30,Mobile & Personal Devices,932.68
913,38,Male,45551,100,10,22,Automotive & Mobility Technologies,99.63
914,55,Male,109314,72,10,47,Automotive & Mobility Technologies,438.97
915,18,Other,69502,83,6,32,Home Appliances,236.83
916,26,Male,131020,23,7,22,Home Entertainment,844.88
917,49,Other,30523,83,4,38,Automotive & Mobility Technologies,564.48
918,36,Female,45458,74,6,19,Home Entertainment,135.23
919,28,Other,57107,82,5,2,Business Solutions,271.17
920,60,Other,44555,84,7,28,Automotive & Mobility Technologies,678.42
921,66,Male,122436,73,7,47,Business Solutions,666.62
922,58,Male,105157,51,3,27,Mobile & Personal Devices,344.39
923,68,Male,107702,73,4,2,Home Appliances,136.03
924,20,Male,88778,56,2,28,Home Entertainment,240.93
925,53,Other,32539,22,6,42,Business Solutions,536.06
926,39,Female,53091,41,9,3,Home Entertainment,12.45
927,46,Other,46368,11,7,17,Business Solutions,869.05
928,28,Male,134592,43,10,25,Mobile & Personal Devices,557.04
929,35,Male,48768,43,2,5,Automotive & Mobility Technologies,746.74
930,42,Other,128064,8,8,44,Home Entertainment,316.5
931,59,Male,48329,6,8,26,Business Solutions,36.76
932,31,Other,30969,32,9,11,Home Appliances,562.47
933,18,Male,117893,84,3,24,Automotive & Mobility Technologies,413.27
934,47,Male,138152,53,2,38,Home Entertainment,129.08
935,48,Other,129592,2,3,26,Mobile & Personal Devices,748.46
936,51,Male,148784,17,1,50,Business Solutions,302.81
937,43,Female,42201,76,1,50,Business Solutions,106.48
938,64,Other,65498,23,5,24,Mobile & Personal Devices,351.94
939,37,Male,70213,84,3,37,Business Solutions,785.53
940,56,Female,51736,3,9,25,Business Solutions,666.01
941,54,Male,33706,64,9,1,Mobile & Personal Devices,371.93
942,36,Male,33087,69,7,21,Home Appliances,651.8
